author,number_of_posts
#PikaChad00,56
#vinny71,316
#ryan.ghosting,190
#Dr.Fly,157
#AgatoWallato,982
#DarkMagic91,1057
#Gelointenso_isback,4855
#Molag_Balpill,562
#macready,2154
#Avanguardia,1201
##Anakin,1524
#Vomitorio,5449
#CrudistaCarnivoro,745
#IoSonoNessuno,1236
#Hutch2000,1173
#Solone,3
#bestia_umana,1130
#merda_umana,165
#GizPo,483
#Venutacob2vu,699
#nabokov93,461
#Apocalipso,1771
#Il_filibustiere_matto,48
#Myokine,157
#BelloDeZia,1131
#$_SENTENZA_$,409
#Thelordofthe(onion)rings,606
#Rattovolantetriplacoda,1014
#cava96,224
#Lucabalconi5431,219
#Psychopillato,1640
#Giovanni.Cassarino,90
#emorroide,717
#mauroreg,271
#Alduin,725
#subumano,232
#JonhRoses,217
#Rellec,65
#PattyLocks85,783
#fadetoblack88,433
#Invisible_Man,292
#Dark_Magician,1942
#quellodiRoma,452
#Docciaiolo,280
#SanTan,1620
#Gerald.g,321
#ilboia,759
#Vita_da_Normie,70
#StranoInvisibilePercepito,419
#G-Peres,11
#Piaso_(the_real),334
#CrudoDaVinci,2221
#mattiacarputo,2185
#SixSamurai,189
#Flíppero,1381
#akira2000,742
#Free_Soul,1923
#Garrador,444
#Socratico26,329
#Ceccherini,494
#•_Char_•,250
#maiale_tonnato,441
#albaserenadv,515
#Kiki,222
#Maverick,169
#Max_Power,838
#Charline,74
#fruttolo999,43
#McFly,2
#GioPonti,1
#God_Emperor_Trump,187
#Andrew_Tate,42
#Wild,1075
#Wisp,783
#figlio_di_puttana,47
#Lombric0,124
#Severny,2214
#Titillo,118
#Émile_Zola,64
#Cesare_Orgia,226
#PerdenteParker,366
#normie_timidone,144
#Swuotan,224
#Tempestadineve,647
#informaticoinvisibile,9
#Metamorphosis97,373
#Ruiner,338
#gian_Paolo_culeddu,236
#StoicoVero,23
#SubSeven,130
#Puah,51
#La_Città_di_Ur,162
#Master_Shogun,338
#Virgin_White_Knight,234
#RattoDiFogna,121
#Archangel_95,42
#yakuza,154
#Rockerduck,48
#taxidriver,185
#Yorick,362
#MAIALISSIMO_CAN,34
#Nessie,878
#Harlequinn,120
#Don_Vito,212
#Bau,102
#potamogale97,120
#umanset97,26
#BadMan,34
#Luomodelbuontempo,472
#Ghost,390
#Spartan,27
#Alba_bli,3
#gunn,224
#La_vita_squallida,123
#deku_master_9700,158
#Vecchiodimmerda,36
#Squiddi,226
#Il_Babau,93
#FIGOMANCATO,63
#snootchiez,27
#PaoloChadsellino,43
#bless123,185
#Ispettore_Derrick,361
#S0lo98,14
#Crudissimissimo,189
#Kekko097,42
#dexterJCK,16
#Draag,3
#caracal,37
#Alieno_Bisex,10
#Hakall,36
#aldericus,41
#25ennearrapato,112
#solo292,536
#pryncx,27
#daveeeee94,1
#Rontolo,25
#twinklestar,5
#🕰️23:59🕰️,113
#Kvara,13
#Gigi,119
#Napoletanobrutto,12
#Kirai,72
#VecchioLurido,43
#mmmm,38
#Commissario,1
#Etereo,43
#Kiryu_Kazuma,34
#Bruttino,192
#Titano,25
#Scatologaranzia,43
#AllIsL0st,20
#bartocasta,1
#daneel,51
#NicoNico12,68
#maurimauri2mauri,61
#Higuain,14
#Scarto_Genetico,14
#BoeSzyslak,448
#Lucio_Cornelio_Minore,6
#MacchiaV,6
#Fazz35,3
#albaserenadv.,4
#Pasquale4,4
#XxX,20
#DetectiveRedPillato,1
#Kevin00,7
#Pinuspa,25
#Verità,82
#Nivnij,1
#Pinselo21,23
#MikeBonjour,1
#BadVibesGoodVibes,52
#24ennearrapato,1
#Pyppo,39
#Random84,271
#SynLaVendetta,24
#patriarca_johnny,2
#Wild_Bill,11
#franklin87,5
#Gufaccio,4
#frame-cel,44
#LUKAS,3
#Paperino,28
#Lol...,7
#alice,2
#Sabre,2
#SMB,6
#jionathan,9
#marco_xaxa,3
#plasa9096,4
#cavzonda_,15
#Captain-Ugly,2
#alice.a,16
#Piramide,14
#Rigoris,4
#Kenji,14
#MondoMarcio,3
#ossapev,1
#Pezzottato,476
#Hoy,53
#Re_dei_misogini,26
#cessoripugnante,17
#Aria,8
#CessoAppilato,54
#TheItalianGoat,53
#🎈_Pennywise,103
#_Gaussiano_,49
#FrameCess15,106
#Il_basso,2
#Ne0ttolemo,24
#nap,34
#mamga12,14
#CallMeAndry_,17
#Zeno,2
#klaudi0_84,10
#IlRumeno,4
#26ennearrapato,14
#Barabbabarabba,115
#francesco24yd,17
#BooYa,6
#jonas,1
#Future_legend,32
#Eduz,1
#suvves27,45
#javier,1
#Beddu,17
#elpicc,15
#Tedio,15
#schizopilled,1
#Tycho_Brae,4
#julian654,5
#cessocagato,10
#avodart,70
#KindChad99,12
#Erquam_T-800,25
#blad309,29
#Entropia,1
#il_chad_consapevole,92
#Rio22,2
#NopperaB,5
#ragazzovergine,8
#MarkRed1985,3
#Shinji3000,1
#Oldboy.,1
#coalino,1
